date,cases,deaths,tests,vaccinated,positivity_rate,moving_avg_7,year,month,weekday
2020-01-20,11,1,278,0,3.9568345323741005,NA,2020,1,Mon
2020-01-21,11,0,269,0,4.089219330855019,NA,2020,1,Tue
2020-01-22,13,0,316,0,4.113924050632911,NA,2020,1,Wed
2020-01-23,9,0,403,0,2.2332506203473943,NA,2020,1,Thu
2020-01-24,10,0,299,0,3.3444816053511706,NA,2020,1,Fri
2020-01-25,8,0,410,0,1.951219512195122,NA,2020,1,Sat
2020-01-26,13,0,604,0,2.152317880794702,10.714285714285714,2020,1,Sun
2020-01-27,7,0,308,0,2.272727272727273,10.142857142857142,2020,1,Mon
2020-01-28,15,1,408,0,3.6764705882352944,10.714285714285714,2020,1,Tue
2020-01-29,9,0,238,0,3.7815126050420167,10.142857142857142,2020,1,Wed
2020-01-30,12,0,318,0,3.7735849056603774,10.571428571428571,2020,1,Thu
2020-01-31,14,0,383,0,3.6553524804177546,11.142857142857142,2020,1,Fri
2020-02-01,8,0,333,0,2.4024024024024024,11.142857142857142,2020,2,Sat
2020-02-02,13,0,374,0,3.4759358288770055,11.142857142857142,2020,2,Sun
2020-02-03,20,0,511,0,3.9138943248532287,13,2020,2,Mon
2020-02-04,7,0,232,0,3.0172413793103448,11.857142857142858,2020,2,Tue
2020-02-05,12,0,474,0,2.5316455696202533,12.285714285714286,2020,2,Wed
2020-02-06,13,1,481,0,2.7027027027027026,12.428571428571429,2020,2,Thu
2020-02-07,14,0,481,0,2.9106029106029108,12.428571428571429,2020,2,Fri
2020-02-08,10,0,376,0,2.6595744680851063,12.714285714285714,2020,2,Sat
2020-02-09,9,0,213,0,4.225352112676056,12.142857142857142,2020,2,Sun
2020-02-10,5,0,235,0,2.127659574468085,10,2020,2,Mon
2020-02-11,11,1,512,0,2.1484375,10.571428571428571,2020,2,Tue
2020-02-12,11,0,229,0,4.8034934497816595,10.428571428571429,2020,2,Wed
2020-02-13,9,0,312,0,2.8846153846153846,9.857142857142858,2020,2,Thu
2020-02-14,5,0,172,0,2.9069767441860463,8.571428571428571,2020,2,Fri
2020-02-15,4,0,85,0,4.705882352941177,7.714285714285714,2020,2,Sat
2020-02-16,9,0,339,0,2.6548672566371683,7.714285714285714,2020,2,Sun
2020-02-17,10,0,510,0,1.9607843137254901,8.428571428571429,2020,2,Mon
2020-02-18,5,0,178,0,2.8089887640449436,7.571428571428571,2020,2,Tue
2020-02-19,12,0,384,0,3.125,7.714285714285714,2020,2,Wed
2020-02-20,15,0,454,0,3.303964757709251,8.571428571428571,2020,2,Thu
2020-02-21,18,0,515,0,3.4951456310679614,10.428571428571429,2020,2,Fri
2020-02-22,14,0,607,0,2.3064250411861615,11.857142857142858,2020,2,Sat
2020-02-23,7,0,201,0,3.482587064676617,11.571428571428571,2020,2,Sun
2020-02-24,11,0,354,0,3.1073446327683616,11.714285714285714,2020,2,Mon
2020-02-25,13,0,472,0,2.754237288135593,12.857142857142858,2020,2,Tue
2020-02-26,13,0,438,0,2.968036529680365,13,2020,2,Wed
2020-02-27,13,0,611,0,2.127659574468085,12.714285714285714,2020,2,Thu
2020-02-28,13,0,529,0,2.4574669187145557,12,2020,2,Fri
2020-02-29,12,1,297,0,4.040404040404041,11.714285714285714,2020,2,Sat
2020-03-01,8,0,222,0,3.6036036036036037,11.857142857142858,2020,3,Sun
2020-03-02,7,0,173,0,4.046242774566474,11.285714285714286,2020,3,Mon
